Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering
15,1,0,3,7.027118693098535,20,1,2,1,1,0,0
16,0,0,1,11.105266452158803,27,0,3,0,1,0,0
18,1,0,2,16.337559717875656,19,0,0,0,0,0,0
15,0,1,3,13.238031529438572,11,0,3,0,1,0,0
17,0,0,0,19.13671335086126,22,0,1,1,0,1,0
15,1,0,3,14.332638734040628,3,0,2,0,1,1,0
15,1,0,1,16.655581420465893,13,1,3,0,1,0,0
15,1,1,2,19.5701193386538,13,0,1,0,0,0,0
15,1,0,3,12.49887540815664,8,1,2,1,0,0,0
17,0,0,2,16.6050038556277,28,0,0,0,1,0,0
15,0,0,1,6.219460427660666,14,0,2,0,0,1,0
15,0,1,3,9.518126549464014,4,1,2,1,0,0,0
16,1,2,0,14.28306292784348,13,1,1,0,0,0,0
16,0,1,4,4.188134278998672,20,1,2,0,1,0,0
17,1,0,2,5.478297412598074,14,0,4,0,1,0,0
17,0,0,1,17.376021916356407,12,0,2,0,0,1,0
18,0,2,2,4.895997460034518,4,0,1,0,0,0,0
17,0,0,2,6.04553400992897,15,0,2,0,0,0,0
17,0,0,2,10.268689942516405,17,1,3,1,0,0,0
16,1,2,2,10.277516695564673,12,0,3,0,0,0,0
17,1,0,2,0.0871915991316085,6,0,1,0,1,0,0
16,0,1,2,8.21009642696713,21,0,0,1,0,1,0
17,0,0,2,13.600921127485396,22,0,1,0,1,0,0
16,0,0,3,7.262651805189244,22,0,3,0,0,0,0
16,1,1,4,16.583635598998356,23,0,3,0,0,0,1
16,0,0,3,4.297092128499962,23,0,0,0,0,0,0
18,0,1,4,2.076787722218552,23,0,2,0,0,0,0
15,0,3,3,18.24970108460737,18,1,2,0,0,0,1
17,1,0,2,14.56941891117184,14,0,4,0,0,1,0
17,0,1,2,15.440635719447096,27,0,2,0,1,0,0
16,1,1,1,9.880233411986111,7,0,1,0,1,0,0
16,0,0,1,3.962614836471541,3,0,1,0,0,1,1
16,0,0,3,13.924428722425448,20,0,0,0,0,0,0
17,1,0,2,18.61615344689524,18,0,3,0,0,0,0
17,1,3,2,13.611661858375346,8,1,3,0,0,0,0
17,0,0,1,4.145650450994712,19,0,1,1,0,0,0
17,1,1,2,19.19833379284182,8,0,4,0,0,0,0
16,1,3,1,5.44934368066192,23,0,1,1,0,0,0
18,0,3,1,15.538927767850424,22,0,2,0,0,0,0
18,0,0,0,8.184991475707946,19,0,2,0,0,0,1
17,1,2,2,14.986307102848688,23,0,1,0,0,0,0
15,0,1,2,11.026347813256285,23,0,2,1,0,0,0
18,1,1,2,5.6026823755075945,19,0,2,0,0,0,0
17,0,2,1,12.785257663627256,23,0,2,0,0,0,0
18,1,2,3,2.949060185323591,2,1,3,0,1,0,1
17,0,2,3,2.4582236508449,3,0,1,0,0,1,0
17,1,0,3,16.06266177872492,14,0,3,0,0,0,0
18,0,0,2,18.981387872908428,21,0,1,0,0,0,0
15,1,3,1,5.799747852882837,19,0,3,0,0,0,1
16,1,0,2,6.036693217857902,10,0,3,0,1,0,1
16,0,0,1,9.373032739927703,0,0,2,0,1,1,1
16,1,0,1,7.881672970200637,23,0,1,0,1,1,0
15,1,0,1,8.263889576055954,2,0,1,1,0,0,0
16,1,0,3,2.2521845869844137,8,0,3,0,0,1,0
16,0,0,3,13.56245003073293,14,0,2,0,0,0,0
16,0,1,2,19.80445069230148,3,0,2,0,0,0,0
17,1,0,0,9.705614342203964,23,0,2,0,0,0,0
18,0,0,2,11.140951723844683,24,0,3,0,0,0,1
15,1,0,0,10.403614731335193,20,0,4,0,0,0,0
16,1,0,2,18.38076554057342,29,0,4,0,0,0,0
16,1,0,0,9.3969086996735,13,0,3,1,0,0,1
17,1,1,4,2.405419262572137,6,1,1,0,0,1,0
17,0,0,2,3.8689445602387496,0,1,3,0,0,0,0
15,1,2,3,19.786990280840783,17,1,3,0,0,0,0
